S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
65,Odisha,24,Balasore,344,Bahanaga,3707,Gopalpur,119298,Bajipur,281022,Bajipur,393901,393901,Bajipur,1150,279,31,840,325,325,0,
66,Odisha,24,Balasore,344,Bahanaga,3707,Gopalpur,119298,Fatepur,281016,Fatepur,393931,393931,Fatepur,732,377,0,355,172,172,0,
66,Odisha,24,BALESWAR,344,REMUNA,3702,SUTEI,298761,BAISHNABBAD,697574,,0,0,,67,0,0,67,1,0,0,Villages taken from SBM
67,Odisha,24,BALESWAR,344,REMUNA,3702,TENTULIDA,119179,JUNUDA NO. 1,697979,,0,0,,0,0,0,0,107,0,0,Villages taken from SBM
67,Odisha,24,Balasore,344,Bahanaga,3707,Gopalpur,119298,Gopalpur,281017,Gopalpur,393911,393911,Gopalpur,902,316,17,569,245,240,0,
68,Odisha,24,Balasore,344,Bahanaga,3707,Gopalpur,119298,Jageswar Pada,281018,Jageswarpada,393829,393829,Jageswarpada,319,20,0,299,48,48,0,
68,Odisha,24,BALESWAR,344,SIMULIA,3709,MAITAPUR,119344,GOUDAGADI,700414,,0,0,,319,0,0,319,49,0,0,Villages taken from SBM
69,Odisha,24,BALESWAR,344,SORO,3708,DAHISADA,119312,JAGANNATHPUR,695740,,0,0,,884,7,1,876,347,0,0,Villages taken from SBM
69,Odisha,24,Balasore,344,Bahanaga,3707,Gopalpur,119298,Malanga,281023,Malanga,393902,393902,Malanga,830,270,0,560,171,171,0,
70,Odisha,24,Balasore,344,Bahanaga,3707,Gopalpur,119298,Paikasta,281026,Paikasta,393906,393906,Paikasta,1488,153,20,1315,348,348,0,
71,Odisha,24,Balasore,344,Bahanaga,3707,Gopalpur,119298,Sarangapur,281015,Sarangapur,393910,393910,Sarangapur,867,558,0,309,188,180,0,
72,Odisha,24,Balasore,344,Bahanaga,3707,Kalyani,119299,Arala,281039,Arala,393912,393912,Arala,764,565,0,199,174,169,0,
73,Odisha,24,Balasore,344,Bahanaga,3707,Kalyani,119299,Bagalpur,281031,Bagalpur,393844,393844,Bagalpur,1022,14,97,911,405,257,0,
74,Odisha,24,Balasore,344,Bahanaga,3707,Kalyani,119299,Gilida,281030,Gilida,393930,393930,Gilida,371,0,0,371,79,74,0,
75,Odisha,24,Balasore,344,Bahanaga,3707,Kalyani,119299,Janhipur,281033,Janhipur,393918,393918,Janhipur,211,64,0,147,72,72,0,
76,Odisha,24,Balasore,344,Bahanaga,3707,Kalyani,119299,Kalyani,281032,Kalyani,393924,393924,Kalyani,2404,323,0,2081,507,500,0,
77,Odisha,24,Balasore,344,Bahanaga,3707,Kalyani,119299,Villa,281034,Villa,393917,393917,Villa,1188,432,24,732,145,145,0,
