S.No.,State,StateId,District,DistrictId,Block,BlockId,Panchayat,PanchayatId,Village,Villageid,Census Village Name,Census Village Code,LGD Villageid,LGD Village Name,Tot Pop,SC Pop,ST Pop,GEN Pop,No. of House Holds,House Connection Provided as on 01/04/2024,Houseconnection Provided in 2024-2025 including private connection,Status
96,Odisha,24,Malkangiri,369,Chitrakonda,3944,Guntabeda,124198,Kankripada,317335,Kankaraipoda,430654,430654,Kankaraipoda,858,159,679,20,171,111,0,
97,Odisha,24,Malkangiri,369,Chitrakonda,3944,Guntabeda,124198,Rampur,317334,Rampur,430662,430662,Rampur,112,62,49,1,30,27,0,
98,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jantri,298170,Arliapada,317028,Aralipada,430766,923619,ARLINGPADA,75,0,71,4,21,0,0,
99,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jantri,298170,Bhajaguda,317023,Bhajaguda,430771,923624,BHAJAGUDA,21,5,16,0,6,0,0,
100,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jantri,298170,Dabuguda,317029,Dabuguda,430765,923618,DABUGUDA,154,7,147,0,33,0,0,
101,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jantri,298170,Dhakadapadar,317030,Dhakadpadar,430764,923617,DHAKADPADAR,266,2,264,0,61,17,0,
102,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jantri,298170,Jantri,317031,Jantri,430763,923616,JANTRI,452,6,446,0,106,90,0,
103,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jantri,298170,Maribeda,317025,Mariveda,430769,923622,MARIBEDA,84,0,84,0,20,0,0,
104,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jantri,298170,Nadimanjari,317026,Nanamanjari,430768,923621,NADIMANJIRI,167,0,167,0,36,1,0,
105,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jantri,298170,Sadaram,317022,Sadaram,430772,923625,SADARAM,70,0,70,0,17,0,0,
106,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jantri,298170,Sanyasiguda,317024,Sanyasiguda,430770,923623,SANYASIGUDA,155,0,155,0,40,0,0,
107,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jantri,298170,Taberu,317027,Taber,430767,923620,TABERU,325,0,323,2,75,0,0,
108,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jantri,298170,Totaguda,317032,Totaguda,430762,923626,TOTAGUDA,110,0,110,0,30,0,0,
109,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,BADATALPADAR,316960,Badtalpadar,430813,924799,BADATALPADAR,21,21,0,0,5,5,0,
110,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,BHITAR DARLABEDA,316957,Bhitardarlabeda,430815,430815,Bhitardarlabeda,42,0,42,0,8,0,0,
111,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,BIHANGUDI,316968,Bihanagudi,430804,430804,Bihanagudi,232,0,232,0,53,44,0,
112,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,DAORAGUDA,316967,Daraguda,430805,430636,Doraguda,27,0,26,1,7,0,0,
113,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jodamba,124153,Darlabeda,316954,Darlabeda,430818,430818,Darlabeda,391,33,266,92,96,96,0,
114,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jodamba,124153,Gajalgummi,316990,Gajalgumi,430824,924795,GAJALGUMI,98,0,98,0,22,21,0,
115,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,GAUDAPUT,316953,Gaudaput,430819,924794,Goudaput,37,0,0,37,11,9,0,
116,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jodamba,124153,Gopinathguda,316983,Gopinathguda,430831,430831,Gopinathguda,111,0,111,0,23,0,0,
117,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,HANTALGUDA,316971,Hantalguda,430677,430677,Hantalguda,201,0,201,0,40,36,0,
118,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,JAJPALAM,316991,Jajpalama,430823,430823,Jajpalama,142,0,114,28,33,0,0,
119,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,JAMPURULU,316951,jampurulu,430822,430822,jampurulu,90,0,90,0,21,21,0,
120,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,JANTURAI,316989,Janturai,430825,430825,Janturai,251,0,245,6,61,52,0,
121,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jodamba,124153,Jodamba,316986,Jodamba,430828,430828,Jodamba,357,1,344,12,84,74,0,
122,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,KARANJIAGUDA,316956,Karenjaguda,430816,924800,KARANJAGUDA,7,0,7,0,2,0,0,
123,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jodamba,124153,Khajuriguda,316969,Khajuriguda,430803,430580,Khajuriguda,260,6,254,0,55,37,0,
124,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,KUMBAPATIAGUDA,316987,Kumbhipatiaguda,430827,430827,Kumbhipatiaguda,128,2,111,15,31,0,0,
125,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,KUNTURPADAR,316985,Kunturpader,430829,430829,Kunturpader,243,2,239,2,55,29,0,
126,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,KUSUMAPUT,316955,Kusumput,430817,430817,Kusumput,101,0,95,6,28,19,0,
127,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jodamba,124153,Kutunipadar,316962,Kutunipadar,430810,430810,Kutunipadar,92,3,85,4,20,12,0,
128,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,LADIGUDA,625203,ladiguda,430821,430821,ladiguda,81,2,79,0,17,17,0,
129,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,MATIKHAL,316970,Matikhala,430799,430799,Matikhala,95,0,89,6,20,20,0,
130,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jodamba,124153,Nilaram,316961,Nilaram,430812,430812,Nilaram,66,0,66,0,17,14,0,
131,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jodamba,124153,Nuaguda,316958,Nuaguda,430814,430814,Nuaguda,18,0,18,0,5,5,0,
132,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,PALASPADAR,316965,Palasapader,430807,924797,PALASPADAR,59,0,59,0,13,3,0,
133,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,PANPADAR,316964,Panapader,430808,430808,Panapader,90,21,69,0,19,15,0,
134,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,PANSAPADAR,316963,Panaspadar,430809,430809,Panaspadar,72,0,72,0,13,7,0,
135,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,PODAKHAL,316966,Podakhala,430806,924796,PODKHAL,21,0,21,0,5,5,0,
136,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,SANTALAPADAR,316959,Santalepader,430811,924798,SANTALPADAR,21,0,21,0,6,0,0,
137,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,SIMILI PADAR,316952,Similipader,430820,430820,Similipader,202,0,202,0,43,20,0,
138,Odisha,24,Malkangiri,369,Chitrakonda,3944,Jodamba,124153,Tarabeda,316988,Tarabeda,430826,430826,Tarabeda,245,0,244,1,54,54,0,
139,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,JODAMBA,124153,TIKARPADA,316984,Tikarpada,430830,430830,Tikarpada,107,0,107,0,24,13,0,
140,Odisha,24,Malkangiri,369,Chitrakonda,3944,Kapatuti,236461,Kapatuti,590043,Kapatuti,430656,430656,Kapatuti,1048,68,956,24,219,18,0,
141,Odisha,24,Malkangiri,369,Chitrakonda,3944,Kapatuti,236461,Orgel,317326,Oragel,430655,430655,Orgel,765,102,653,10,171,56,0,
142,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,KURUMANUR,124171,ALURKOTA,317118,Alurkota,431054,431054,Alurkota,276,0,55,221,52,25,0,
143,Odisha,24,Malkangiri,369,Chitrakonda,3944,Kurumanur,124171,Arabati,317126,Arabeti,431029,431029,Arabeti,140,0,140,0,28,0,0,
144,Odisha,24,Malkangiri,369,Chitrakonda,3944,Kurumanur,124171,Buspaka,317123,Busupaka,431052,431052,Busupaka,45,0,10,35,12,0,0,
145,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,KURUMANUR,124171,CHILKALMAMIDI,317127,Chilikalamami,431030,431030,Chilikalamami,130,0,93,37,33,0,0,
146,Odisha,24,Malkangiri,369,Chitrakonda,3944,Kurumanur,124171,Chintagunalur,317120,Chintagunalur,431023,431023,Chintagunalur,173,1,172,0,38,28,0,
147,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,KURUMANUR,124171,DULAGANDI,317122,Dulagandi,431031,431031,Dulagandi,459,0,40,419,79,0,0,
148,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,KURUMANUR,124171,ELAKANUR,317121,Elakanur,431051,431051,Elakanur,127,0,127,0,28,0,0,
149,Odisha,24,Malkangiri,369,Chitrakonda,3944,Kurumanur,124171,Ghatiguda,625213,Ghatiguda,431026,431026,Ghatiguda,52,20,23,9,10,0,0,
150,Odisha,24,Malkangiri,369,Chitrakonda,3944,Kurumanur,124171,Gilamadigi,317116,Gilamadingi,431056,431056,Gilamadingi,457,64,143,250,102,35,0,
151,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,KURUMANUR,124171,GURALURU,317125,Guralur,431053,431053,Guralur,282,4,0,278,70,0,0,
152,Odisha,24,Malkangiri,369,CHITRAKONDA,3944,KURUMANUR,124171,JODAMBA,317117,Jadaamba,431060,431060,Jadaamba,148,7,141,0,49,40,0,
153,Odisha,24,Malkangiri,369,Chitrakonda,3944,Kurumanur,124171,Kurumanur,317114,Kurumanur,431059,431059,Kurumanur,845,112,733,0,189,85,0,
154,Odisha,24,Malkangiri,369,Chitrakonda,3944,Kurumanur,124171,Madhumala,317115,Madhumal,431058,431058,Madhumal,103,0,0,103,25,0,0,
